Sketch: C:\Users\鉄朗\Google ドライブ\大学\講義資料\２０１４年度前期\情報表現\ブロック崩し提出物\brolebreak_move, 2014-07-24 14:30:02.639
Comma in error msg is substituted with ^ symbol
For separating arguments in error args | symbol is used
ERROR TYPE, ERROR ARGS, ERROR MSG
ParsingError,{*| =},Syntax error on token "*"^ = expected
ParsingError,{+=| ++},Syntax error on token "+="^ ++ expected
ParsingErrorDeleteToken,{/},Syntax error on token "/"^ delete this token
ParsingErrorInsertTokenAfter,{{| Expression},Syntax error on token "{"^ Expression expected after this token
ParsingErrorDeleteTokens,{},Syntax error on tokens^ delete these tokens
ParsingErrorInsertToComplete,{;| BlockStatements},Syntax error^ insert ";" to complete BlockStatements
ParsingErrorInsertToComplete,{AssignmentOperator Expression| Assignment},Syntax error^ insert "AssignmentOperator Expression" to complete Assignment
ParsingErrorInsertToComplete,{}| Block},Syntax error^ insert "}" to complete Block
ParsingErrorInsertToComplete,{}| ClassBody},Syntax error^ insert "}" to complete ClassBody
ParsingErrorInsertToComplete,{}| MethodBody},Syntax error^ insert "}" to complete MethodBody
UnterminatedComment,{},Unexpected end of comment
